name,genres,features,rating,price
Bunch of Heroes,"Action, Indie","Single-player, Multi-player, Co-op, Steam Achievements, Partial Controller Support, Steam Leaderboards, Family Sharing",N/A,$4.99
Sherlock Holmes: The Silver Earring,Adventure,"Single-player, Family Sharing",68,$9.99
Serious Sam Double D XXL,"Action, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Steam Achievements, Partial Controller Support, Remote Play Together, Family Sharing",N/A,$9.99
Serious Sam Double D Demo,"Action, Indie","Single-player, Game demo",N/A,Free
Sherlock Holmes: The Mystery of the Persian Carpet,"Adventure, Casual","Single-player, Family Sharing",N/A,$9.99
Blocks That Matter,"Adventure, Casual, Indie, Strategy","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Family Sharing",72,$4.99
Sherlock Holmes versus Jack the Ripper,"Adventure, RPG","Single-player, Steam Cloud, Family Sharing",73,$9.99
Guardians of Middle-earth,"Action, Strategy","Single-player, Multi-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards, Remote Play on TV, Family Sharing",56,N/A
Guardians of Middle-earth: Smaug's Treasure,"Action, Strategy","Single-player, Multi-player, Downloadable Content, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards, Family Sharing",N/A,N/A
Shadowgrounds Survivor,Action,"Single-player, Multi-player, Shared/Split Screen, Steam Trading Cards, Includes level editor, Remote Play Together, Family Sharing",79,$9.99
Avadon: The Black Fortress,"Indie, RPG","Single-player, Steam Achievements, Stats, Family Sharing",75,$9.99
Avadon: The Black Fortress Demo,"Strategy, RPG, Indie","Single-player, Game demo",75,Free
Shadowgrounds Survivor Demo,Action,"Single-player, Game demo",79,Free
Gumboy Tournament,"Casual, Indie, Racing","Single-player, Multi-player, Family Sharing",N/A,$1.49
Space Trader: Merchant Marine,"Action, Indie, Strategy","Single-player, Multi-player, Co-op, Steam Achievements, Family Sharing",N/A,$4.99
Pacific Storm,"Simulation, Strategy","Single-player, Multi-player, Steam Trading Cards, Family Sharing",67,$7.99
Pacific Storm Allies,"Simulation, Strategy","Single-player, Multi-player, Steam Trading Cards, Family Sharing",60,$7.99
Gumboy Tournament Demo,Casual,"Single-player, Multi-player, Game demo",N/A,Free
Penguins Arena: Sedna's World,"Action, Casual, Indie","Single-player, Multi-player, PvP, Online PvP, Steam Trading Cards, Family Sharing",N/A,$5.99
Monaco: What's Yours Is Mine,"Action, Adventure, Casual, Indie, Strategy","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Steam Leaderboards, Includes level editor, Remote Play Together, Family Sharing",83,$14.99
The Binding of Isaac,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",84,$1.99
Larva Mortus,"Action, Indie","Single-player, Steam Achievements, Family Sharing",64,$4.99
APB Reloaded,"Action, Massively Multiplayer, Free To Play","Multi-player, MMO, Steam Achievements",N/A,Free
Fallen Earth Classic,"Free To Play, Massively Multiplayer, RPG","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements",71,Free
Nikopol: Secrets of the Immortals,"Adventure, Indie","Single-player, Family Sharing",68,$0.99
Crash Time 2,"Action, Racing, Simulation","Single-player, Remote Play Together, Family Sharing",N/A,$4.99
Overlord,RPG,"Single-player, Partial Controller Support, Family Sharing",81,$4.99
Overlord Demo,RPG,"Single-player, Game demo",81,Free
Soldiers: Heroes of World War II,Strategy,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Family Sharing",77,$4.99
ToCA Race Driver 3,Racing,"Single-player, Multi-player, Family Sharing",N/A,N/A
Costume Quest,"Adventure, Casual, RPG","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing",N/A,$9.99
Stacking,"Adventure, Indie","Single-player, Partial Controller Support, Family Sharing",80,$9.99
Iron Brigade,"Action, Strategy","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Captions available, Steam Cloud, Steam Leaderboards, Remote Play on TV, Family Sharing",75,$14.99
Cossacks II: Napoleonic Wars,Strategy,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Remote Play Together, Family Sharing",73,$1.24
American Conquest,Strategy,"Single-player, Family Sharing",76,$1.24
American Conquest: Fight Back,Strategy,"Single-player, Family Sharing",66,$1.24
Call of Duty: Modern Warfare 3 (2011),Action,"Single-player, Multi-player, Co-op, Steam Achievements, Steam Cloud, Valve Anti-Cheat enabled, Family Sharing",N/A,$19.99
Prototype 2,"Action, Adventure","Single-player, Steam Achievements, Steam Cloud, Stats, Steam Leaderboards, Family Sharing",76,$9.99
Prototype 2 RADNET Access Pack,Action,"Single-player, Downloadable Content, Family Sharing",N/A,$9.99
Second Sight,Action,"Single-player, Family Sharing",73,$9.99
Owlboy,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on TV, Family Sharing",88,$19.99
Dragon Nest,"Action, Free To Play, Massively Multiplayer, RPG","Single-player, Multi-player, MMO, Co-op",N/A,Free
